Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
209026;Task-109;POLICY2_MEC;TASK_CONCLUDED;32102;788196;8256;179784;693847
210777;Task-79;POLICY2_MEC;TASK_CONCLUDED;33335;818455;8573;186686;720483
235679;Task-189;POLICY2_MEC;TASK_CONCLUDED;34308;842344;8824;192135;741514
238023;Task-139;POLICY2_MEC;TASK_CONCLUDED;36106;886505;9286;202208;780388
258580;Task-179;POLICY2_MEC;TASK_CONCLUDED;38412;943118;9879;215121;830224
273860;Task-169;POLICY2_MEC;TASK_CONCLUDED;41307;1014183;10624;231331;892784
277545;Task-199;POLICY2_MEC;TASK_CONCLUDED;41130;1009837;10578;230339;888957
302215;Task-19;POLICY2_MEC;TASK_CONCLUDED;50905;1249816;13092;285078;1100211
335958;Task-29;POLICY2_MEC;TASK_CONCLUDED;56140;1378354;14439;314397;1213363
336861;Task-9;POLICY2_MEC;TASK_CONCLUDED;57097;1401851;14685;319756;1234047
357534;Task-219;POLICY3_CLOUD;TASK_CONCLUDED;67270;1260168;2770;313704;1125245
366969;Task-49;POLICY2_MEC;TASK_CONCLUDED;60854;1494075;15651;340792;1315232
370316;Task-239;POLICY3_CLOUD;TASK_CONCLUDED;69363;1299372;2856;323463;1160252
379526;Task-59;POLICY2_MEC;TASK_CONCLUDED;62676;1538826;16120;350999;1354626
392685;Task-119;POLICY2_MEC;TASK_CONCLUDED;63167;1550875;16246;353748;1365233
409322;Task-39;POLICY2_MEC;TASK_CONCLUDED;68369;1678599;17584;382881;1477668
421045;Task-69;POLICY2_MEC;TASK_CONCLUDED;69595;1708696;17900;389746;1504163
428063;Task-159;POLICY2_MEC;TASK_CONCLUDED;68017;1669943;17494;380907;1470048
438079;Task-129;POLICY2_MEC;TASK_CONCLUDED;70542;1731943;18143;395049;1524627
440764;Task-99;POLICY2_MEC;TASK_CONCLUDED;72146;1771314;18556;404029;1559285
444520;Task-89;POLICY2_MEC;TASK_CONCLUDED;72939;1790779;18760;408469;1576420
456524;Task-229;POLICY3_CLOUD;TASK_CONCLUDED;88043;1649286;3626;410570;1472703
459349;Task-389;POLICY3_CLOUD;TASK_CONCLUDED;80576;1509424;3318;375753;1347815
482266;Task-149;POLICY2_MEC;TASK_CONCLUDED;77501;1902785;19933;434017;1675019
490581;Task-309;POLICY3_CLOUD;TASK_CONCLUDED;91823;1720090;3781;428196;1535926
492790;Task-459;POLICY3_CLOUD;TASK_CONCLUDED;85246;1596885;3510;397526;1425912
505750;Task-489;POLICY3_CLOUD;TASK_CONCLUDED;86614;1622523;3567;403908;1448805
544050;Task-419;POLICY3_CLOUD;TASK_CONCLUDED;97557;1827503;4018;454935;1631839
544633;Task-369;POLICY3_CLOUD;TASK_CONCLUDED;99945;1872237;4116;466071;1671784
545812;Task-429;POLICY3_CLOUD;TASK_CONCLUDED;97522;1826842;4016;454771;1631249
553141;Task-479;POLICY3_CLOUD;TASK_CONCLUDED;97127;1819449;4000;452930;1624648
554884;Task-439;POLICY3_CLOUD;TASK_CONCLUDED;99177;1857840;4084;462487;1658928
556650;Task-279;POLICY3_CLOUD;TASK_CANCELED;107432;2012477;4424;500982;1797009
616391;Task-209;POLICY3_CLOUD;TASK_CANCELED;122860;2301460;5060;572921;2055052
619446;Task-249;POLICY3_CLOUD;TASK_CANCELED;121885;2283204;5019;568377;2038751
620333;Task-289;POLICY3_CLOUD;TASK_CANCELED;120596;2259061;4966;562367;2017193
626456;Task-449;POLICY3_CLOUD;TASK_CANCELED;113900;2133635;4691;531143;1905195
648385;Task-299;POLICY3_CLOUD;TASK_CANCELED;125919;2358772;5186;587188;2106228
662247;Task-259;POLICY3_CLOUD;TASK_CANCELED;130710;2448510;5383;609528;2186359
667913;Task-499;POLICY3_CLOUD;TASK_CANCELED;120753;2261991;4973;563096;2019809
681496;Task-469;POLICY3_CLOUD;TASK_CANCELED;124715;2336221;5136;581575;2086092
687881;Task-339;POLICY3_CLOUD;TASK_CANCELED;131904;2470874;5432;615095;2206328
746923;Task-329;POLICY3_CLOUD;TASK_CANCELED;145088;2717841;5975;676574;2426853
771839;Task-399;POLICY3_CLOUD;TASK_CANCELED;146750;2748964;6044;684322;2454645
777112;Task-409;POLICY3_CLOUD;TASK_CANCELED;147558;2764096;6077;688089;2468157
831944;Task-349;POLICY3_CLOUD;TASK_CANCELED;162117;3036811;6676;755978;2711674
836373;Task-379;POLICY3_CLOUD;TASK_CANCELED;161236;3020307;6640;751870;2696936
858277;Task-359;POLICY3_CLOUD;TASK_CANCELED;167345;3134751;6892;780359;2799127
868665;Task-269;POLICY3_CLOUD;TASK_CANCELED;174128;3261802;7171;811987;2912576
897192;Task-319;POLICY3_CLOUD;TASK_CANCELED;177627;3327354;7315;828305;2971109
1306146;Task-224;POLICY1_IOT;TASK_CONCLUDED;356010;0;1264243;0;537657
1337400;Task-336;POLICY1_IOT;TASK_CONCLUDED;357724;0;1270326;0;540244
1339394;Task-66;POLICY1_IOT;TASK_CONCLUDED;373494;0;1326330;0;564061
1340203;Task-186;POLICY1_IOT;TASK_CONCLUDED;367682;0;1305690;0;555283
1342319;Task-174;POLICY1_IOT;TASK_CONCLUDED;368769;0;1309550;0;556925
1343162;Task-202;POLICY1_IOT;TASK_CONCLUDED;367735;0;1305878;0;555363
1346499;Task-247;POLICY1_IOT;TASK_CONCLUDED;366319;0;1300851;0;553226
1349320;Task-120;POLICY1_IOT;TASK_CONCLUDED;373524;0;1326435;0;564106
1354319;Task-295;POLICY1_IOT;TASK_CONCLUDED;365894;0;1299342;0;552584
1358149;Task-234;POLICY1_IOT;TASK_CONCLUDED;370177;0;1314549;0;559051
1358540;Task-138;POLICY1_IOT;TASK_CONCLUDED;375156;0;1332230;0;566570
1359115;Task-333;POLICY1_IOT;TASK_CONCLUDED;364243;0;1293479;0;550090
1369015;Task-193;POLICY1_IOT;TASK_CONCLUDED;375544;0;1333609;0;567157
1377289;Task-103;POLICY1_IOT;TASK_CONCLUDED;382242;0;1357395;0;577273
1382236;Task-342;POLICY1_IOT;TASK_CONCLUDED;370003;0;1313931;0;558788
1383495;Task-43;POLICY1_IOT;TASK_CONCLUDED;386881;0;1373869;0;584279
1385104;Task-206;POLICY1_IOT;TASK_CONCLUDED;379304;0;1346962;0;572836
1385372;Task-178;POLICY1_IOT;TASK_CONCLUDED;380688;0;1351876;0;574926
1386997;Task-307;POLICY1_IOT;TASK_CONCLUDED;374205;0;1328854;0;565135
1388110;Task-270;POLICY1_IOT;TASK_CONCLUDED;376880;0;1338354;0;569175
