Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
655712;POLICY2_MEC;TASK_CONCLUDED;15729;817066;17118;186369;706934
657246;POLICY3_CLOUD;TASK_CONCLUDED;74852;1764804;5404;439327;1560672
658167;POLICY2_MEC;TASK_CONCLUDED;26092;1355367;28397;309153;1172678
658203;POLICY3_CLOUD;TASK_CONCLUDED;51246;1208266;3700;300783;1068506
658501;POLICY3_CLOUD;TASK_CONCLUDED;79021;1863084;5705;463793;1647584
661236;POLICY3_CLOUD;TASK_CANCELED;109952;2059682;4528;512733;1839160
661843;POLICY3_CLOUD;TASK_CONCLUDED;63232;1490843;4565;371128;1318399
664237;POLICY3_CLOUD;TASK_CONCLUDED;76228;1797239;5503;447401;1589354
668534;POLICY3_CLOUD;TASK_CONCLUDED;50499;1190648;3646;296397;1052926
669025;POLICY3_CLOUD;TASK_CONCLUDED;85071;2005715;6142;499299;1773717
672129;POLICY3_CLOUD;TASK_CONCLUDED;79489;1489054;3273;370682;1329625
672583;POLICY3_CLOUD;TASK_CANCELED;133622;2503051;5503;623105;2235060
673644;POLICY3_CLOUD;TASK_CONCLUDED;56585;1334129;4085;332115;1179811
674542;POLICY3_CLOUD;TASK_CONCLUDED;78687;1855220;5681;461835;1640629
674667;POLICY3_CLOUD;TASK_CONCLUDED;66477;1567351;4799;390173;1386057
674714;POLICY3_CLOUD;TASK_CONCLUDED;54556;1286293;3939;320207;1137508
675645;POLICY3_CLOUD;TASK_CONCLUDED;52929;1247936;3821;310659;1103588
677483;POLICY3_CLOUD;TASK_CONCLUDED;69374;1635658;5009;407178;1446464
678231;POLICY3_CLOUD;TASK_CONCLUDED;87067;1630994;3585;406016;1456369
679668;POLICY3_CLOUD;TASK_CONCLUDED;83064;1958402;5997;487521;1731877
681499;POLICY3_CLOUD;TASK_CONCLUDED;100726;1886863;4148;469712;1684843
687645;POLICY3_CLOUD;TASK_CONCLUDED;52766;1244102;3809;309704;1100197
687832;POLICY3_CLOUD;TASK_CONCLUDED;54285;1279907;3919;318617;1131861
690043;POLICY3_CLOUD;TASK_CONCLUDED;74107;1747231;5350;434952;1545131
690853;POLICY3_CLOUD;TASK_CONCLUDED;56440;1330713;4075;331265;1176791
693689;POLICY3_CLOUD;TASK_CONCLUDED;88934;2096796;6421;521972;1854263
694011;POLICY3_CLOUD;TASK_CONCLUDED;59326;1398767;4283;348206;1236973
697871;POLICY3_CLOUD;TASK_CONCLUDED;94326;2223913;6810;553617;1966677
706307;POLICY2_MEC;TASK_CONCLUDED;28021;1455541;30496;332003;1259350
707735;POLICY3_CLOUD;TASK_CANCELED;110240;2065079;4540;514077;1843980
710647;POLICY3_CLOUD;TASK_CONCLUDED;90724;2138991;6550;532476;1891577
712421;POLICY2_MEC;TASK_CONCLUDED;19234;999160;20933;227904;864483
714020;POLICY3_CLOUD;TASK_CONCLUDED;98441;2320926;7107;577767;2052468
714556;POLICY3_CLOUD;TASK_CONCLUDED;54304;1280362;3920;318731;1132263
716113;POLICY3_CLOUD;TASK_CANCELED;116377;2180021;4793;542690;1946615
723873;POLICY3_CLOUD;TASK_CONCLUDED;81718;1926664;5900;479620;1703810
724779;POLICY3_CLOUD;TASK_CONCLUDED;101075;2383041;7297;593230;2107399
726506;POLICY3_CLOUD;TASK_CANCELED;131551;2464262;5418;613449;2200424
731834;POLICY3_CLOUD;TASK_CONCLUDED;93017;2193056;6716;545935;1939389
734140;POLICY3_CLOUD;TASK_CONCLUDED;63436;1495665;4580;372328;1322663
735929;POLICY3_CLOUD;TASK_CONCLUDED;64580;1522637;4662;379042;1346515
738168;POLICY2_MEC;TASK_CONCLUDED;19821;1029643;21572;234857;890858
740738;POLICY3_CLOUD;TASK_CANCELED;138514;2594684;5704;645916;2316882
740824;POLICY2_MEC;TASK_CONCLUDED;21298;1106328;23179;252349;957207
