Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
599000;Task-297;POLICY3_CLOUD;TASK_CONCLUDED;50992;1202276;3681;299292;1063210
599238;Task-240;POLICY3_CLOUD;TASK_CONCLUDED;60505;1426554;4368;355124;1261546
605761;Task-263;POLICY3_CLOUD;TASK_CONCLUDED;58219;1372661;4203;341707;1213886
606445;Task-294;POLICY3_CLOUD;TASK_CONCLUDED;52689;1242281;3804;309251;1098587
611057;Task-174;POLICY3_CLOUD;TASK_CONCLUDED;74014;1745050;5344;434409;1543203
612118;Task-235;POLICY3_CLOUD;TASK_CONCLUDED;63305;1492568;4570;371557;1319924
623045;Task-217;POLICY3_CLOUD;TASK_CONCLUDED;69383;1635853;5009;407226;1446636
623565;Task-323;POLICY3_CLOUD;TASK_CONCLUDED;50952;1201343;3678;299060;1062384
624158;Task-324;POLICY3_CLOUD;TASK_CONCLUDED;51020;1202936;3683;299456;1063793
625832;Task-296;POLICY3_CLOUD;TASK_CONCLUDED;55674;1312667;4019;326773;1160832
629546;Task-280;POLICY2_MEC;TASK_CONCLUDED;27055;1405365;29444;320558;1215937
630969;Task-291;POLICY2_MEC;TASK_CONCLUDED;26344;1368465;28671;312141;1184010
634565;Task-274;POLICY3_CLOUD;TASK_CONCLUDED;61139;1441511;4414;358847;1274773
637298;Task-185;POLICY3_CLOUD;TASK_CONCLUDED;76470;1802954;5521;448824;1594409
637469;Task-266;POLICY3_CLOUD;TASK_CONCLUDED;62821;1481146;4535;368714;1309824
641336;Task-374;POLICY2_MEC;TASK_CONCLUDED;20873;1084264;22716;247316;938116
643406;Task-315;POLICY3_CLOUD;TASK_CONCLUDED;56047;1321454;4046;328960;1168602
646177;Task-215;POLICY3_CLOUD;TASK_CONCLUDED;73345;1729275;5295;430482;1529252
648145;Task-242;POLICY3_CLOUD;TASK_CONCLUDED;68440;1613628;4941;401693;1426981
649905;Task-134;POLICY3_CLOUD;TASK_CONCLUDED;86605;2041890;6253;508304;1805708
650879;Task-132;POLICY3_CLOUD;TASK_CONCLUDED;87435;2061453;6313;513174;1823008
652167;Task-223;POLICY3_CLOUD;TASK_CONCLUDED;72598;1711665;5241;426099;1513679
653818;Task-261;POLICY3_CLOUD;TASK_CONCLUDED;67094;1581905;4844;393796;1398928
657427;Task-182;POLICY3_CLOUD;TASK_CONCLUDED;80202;1890932;5790;470725;1672211
659613;Task-161;POLICY3_CLOUD;TASK_CONCLUDED;84901;2001721;6130;498305;1770185
659647;Task-300;POLICY3_CLOUD;TASK_CONCLUDED;60481;1425990;4366;354983;1261047
659917;Task-295;POLICY3_CLOUD;TASK_CONCLUDED;61508;1450197;4441;361009;1282454
662059;Task-457;POLICY2_MEC;TASK_CONCLUDED;16244;843826;17679;192473;730087
663797;Task-150;POLICY3_CLOUD;TASK_CONCLUDED;87208;2056108;6296;511844;1818281
663854;Task-244;POLICY3_CLOUD;TASK_CONCLUDED;70859;1670654;5116;415889;1477412
665594;Task-173;POLICY3_CLOUD;TASK_CONCLUDED;83309;1964174;6015;488958;1736981
669124;Task-192;POLICY3_CLOUD;TASK_CONCLUDED;80399;1895579;5805;471882;1676320
671149;Task-156;POLICY3_CLOUD;TASK_CONCLUDED;87654;2066612;6328;514458;1827570
671658;Task-364;POLICY3_CLOUD;TASK_CONCLUDED;52072;1227733;3759;305629;1085722
674652;Task-248;POLICY3_CLOUD;TASK_CONCLUDED;72213;1702590;5213;423839;1505653
675581;Task-325;POLICY2_MEC;TASK_CONCLUDED;27037;1404455;29425;320350;1215149
675634;Task-302;POLICY3_CLOUD;TASK_CONCLUDED;63044;1486409;4551;370024;1314478
677209;Task-186;POLICY3_CLOUD;TASK_CONCLUDED;82931;1955270;5987;486741;1729107
678906;Task-299;POLICY3_CLOUD;TASK_CONCLUDED;80999;1517338;3336;377723;1354882
680395;Task-201;POLICY3_CLOUD;TASK_CONCLUDED;80690;1902439;5826;473590;1682387
682925;Task-171;POLICY3_CLOUD;TASK_CONCLUDED;86399;2037023;6238;507093;1801404
685079;Task-380;POLICY3_CLOUD;TASK_CONCLUDED;51423;1212443;3712;301823;1072200
687858;Task-230;POLICY3_CLOUD;TASK_CONCLUDED;77303;1822581;5581;453710;1611766
688378;Task-133;POLICY3_CLOUD;TASK_CONCLUDED;93237;2198248;6731;547228;1943980
