Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
1622815576;Task-155;Device-0;POLICY1_IOT;TASK_CONCLUDED;85949;0;12057967;0;2480352
1636280088;Task-157;Device-0;POLICY1_IOT;TASK_CONCLUDED;95975;0;13464512;0;2769682
1646416436;Task-158;Device-1;POLICY1_IOT;TASK_CONCLUDED;199246;0;27952676;0;5749932
1654657256;Task-159;Device-0;POLICY1_IOT;TASK_CANCELED;130992;0;18377168;0;3780227
1671387463;Task-161;Device-0;POLICY1_IOT;TASK_CONCLUDED;119252;0;16730207;0;3441443
1673365625;Task-160;Device-1;POLICY1_IOT;TASK_CONCLUDED;192093;0;26949189;0;5543512
1682435597;Task-163;Device-0;POLICY1_IOT;TASK_CONCLUDED;78751;0;11048134;0;2272627
1691829658;Task-162;Device-1;POLICY1_IOT;TASK_CONCLUDED;131611;0;18464033;0;3798095
1695758940;Task-165;Device-0;POLICY1_IOT;TASK_CONCLUDED;94968;0;13323343;0;2740643
1713887547;Task-164;Device-1;POLICY1_IOT;TASK_CONCLUDED;157228;0;22057889;0;4537360
1717213974;Task-167;Device-0;POLICY1_IOT;TASK_CONCLUDED;152931;0;21455034;0;4413351
1733532181;Task-166;Device-1;POLICY1_IOT;TASK_CONCLUDED;140026;0;19644634;0;4040948
1741437326;Task-169;Device-0;POLICY1_IOT;TASK_CANCELED;172664;0;24223352;0;4982801
1753878186;Task-168;Device-1;POLICY1_IOT;TASK_CONCLUDED;145026;0;20346005;0;4185222
1768459537;Task-171;Device-0;POLICY1_IOT;TASK_CONCLUDED;192614;0;27022211;0;5558533
1777406010;Task-170;Device-1;POLICY1_IOT;TASK_CONCLUDED;167706;0;23527824;0;4839729
1784257381;Task-173;Device-0;POLICY1_IOT;TASK_CONCLUDED;112607;0;15797844;0;3249654
1803092648;Task-172;Device-1;POLICY1_IOT;TASK_CONCLUDED;183094;0;25686638;0;5283803
1804364263;Task-175;Device-0;POLICY1_IOT;TASK_CONCLUDED;143321;0;20106882;0;4136033
1820482375;Task-174;Device-1;POLICY1_IOT;TASK_CONCLUDED;123953;0;17389727;0;3577108
1833864414;Task-177;Device-0;POLICY1_IOT;TASK_CONCLUDED;210277;0;29500151;0;6068251
1836170830;Task-176;Device-1;POLICY1_IOT;TASK_CONCLUDED;111827;0;15688455;0;3227152
1846315059;Task-179;Device-0;POLICY1_IOT;TASK_CANCELED;88748;0;12450645;0;2561127
1857608893;Task-178;Device-1;POLICY1_IOT;TASK_CONCLUDED;152810;0;21438063;0;4409861
1867298441;Task-181;Device-0;POLICY1_IOT;TASK_CONCLUDED;149569;0;20983382;0;4316332
1876300963;Task-180;Device-1;POLICY1_IOT;TASK_CONCLUDED;133237;0;18692070;0;3845003
1891849171;Task-183;Device-0;POLICY1_IOT;TASK_CONCLUDED;174997;0;24550730;0;5050144
1897835671;Task-182;Device-1;POLICY1_IOT;TASK_CONCLUDED;153499;0;21534708;0;4429741
1918210281;Task-185;Device-0;POLICY1_IOT;TASK_CONCLUDED;187901;0;26361110;0;5422543
1919756754;Task-184;Device-1;POLICY1_IOT;TASK_CONCLUDED;156253;0;21921083;0;4509219
1935666792;Task-187;Device-0;POLICY1_IOT;TASK_CONCLUDED;124430;0;17456511;0;3590846
1947432015;Task-186;Device-1;POLICY1_IOT;TASK_CONCLUDED;197269;0;27675261;0;5692867
1962468616;Task-189;Device-0;POLICY1_IOT;TASK_CANCELED;191043;0;26801824;0;5513199
1970359066;Task-188;Device-1;POLICY1_IOT;TASK_CONCLUDED;163424;0;22927051;0;4716149
1982296233;Task-190;Device-1;POLICY1_IOT;TASK_CONCLUDED;85088;0;11937167;0;2455503
1990734905;Task-191;Device-0;POLICY1_IOT;TASK_CONCLUDED;201482;0;28266289;0;5814443
2004564683;Task-192;Device-1;POLICY1_IOT;TASK_CONCLUDED;158729;0;22268450;0;4580673
2012461196;Task-193;Device-0;POLICY1_IOT;TASK_CONCLUDED;154865;0;21726291;0;4469150
2017785909;Task-194;Device-1;POLICY1_IOT;TASK_CONCLUDED;94240;0;13221226;0;2719637
2039575399;Task-196;Device-1;POLICY1_IOT;TASK_CONCLUDED;155315;0;21789490;0;4482150
2042455102;Task-195;Device-0;POLICY1_IOT;TASK_CONCLUDED;213796;0;29993906;0;6169818
2059924988;Task-198;Device-1;POLICY1_IOT;TASK_CONCLUDED;145051;0;20349589;0;4185959
2068039155;Task-197;Device-0;POLICY1_IOT;TASK_CONCLUDED;182363;0;25584053;0;5262701
2079533434;Task-199;Device-0;POLICY1_IOT;TASK_CANCELED;81931;0;11494279;0;2364400
2079840375;Task-200;Device-1;POLICY1_IOT;TASK_CONCLUDED;141956;0;19915387;0;4096642
2093050698;Task-201;Device-0;POLICY1_IOT;TASK_CONCLUDED;96351;0;13517264;0;2780533
2099787030;Task-202;Device-1;POLICY1_IOT;TASK_CONCLUDED;142179;0;19946655;0;4103074
2116832167;Task-203;Device-0;POLICY1_IOT;TASK_CONCLUDED;169514;0;23781469;0;4891905
2122843553;Task-204;Device-1;POLICY1_IOT;TASK_CONCLUDED;164346;0;23056523;0;4742782
2134009299;Task-205;Device-0;POLICY1_IOT;TASK_CONCLUDED;122438;0;17177132;0;3533377
2143861065;Task-206;Device-1;POLICY1_IOT;TASK_CONCLUDED;149812;0;21017512;0;4323352
2159351731;Task-207;Device-0;POLICY1_IOT;TASK_CONCLUDED;180640;0;25342432;0;5212999
2164375716;Task-208;Device-1;POLICY1_IOT;TASK_CONCLUDED;146228;0;20514651;0;4219912
2172892001;Task-209;Device-0;POLICY1_IOT;TASK_CANCELED;96515;0;13540270;0;2785266
2188627617;Task-210;Device-1;POLICY1_IOT;TASK_CONCLUDED;172867;0;24251901;0;4988674
2193836151;Task-211;Device-0;POLICY1_IOT;TASK_CONCLUDED;149289;0;20944150;0;4308261
2207837773;Task-212;Device-1;POLICY1_IOT;TASK_CONCLUDED;136929;0;19210156;0;3951575
2210615401;Task-213;Device-0;POLICY1_IOT;TASK_CONCLUDED;119602;0;16779250;0;3451531
