Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
181727;Task-99;POLICY2_MEC;TASK_CONCLUDED;27447;673912;7059;153716;593243
205349;Task-39;POLICY2_MEC;TASK_CONCLUDED;33649;826171;8654;188446;727277
212702;Task-159;POLICY2_MEC;TASK_CONCLUDED;30521;749391;7850;170933;659687
218166;Task-49;POLICY2_MEC;TASK_CONCLUDED;35481;871161;9125;198708;766881
224454;Task-289;POLICY2_MEC;TASK_CONCLUDED;28157;691334;7242;157690;608580
244255;Task-349;POLICY2_MEC;TASK_CONCLUDED;29785;731297;7660;166806;643759
271958;Task-69;POLICY2_MEC;TASK_CONCLUDED;43890;1077595;11288;245795;948605
272142;Task-249;POLICY2_MEC;TASK_CONCLUDED;37583;922755;9666;210476;812299
274799;Task-359;POLICY2_MEC;TASK_CONCLUDED;34721;852502;8930;194452;750455
281185;Task-309;POLICY2_MEC;TASK_CONCLUDED;37323;916366;9599;209019;806675
281334;Task-299;POLICY2_MEC;TASK_CONCLUDED;37552;921995;9658;210303;811630
295767;Task-29;POLICY2_MEC;TASK_CONCLUDED;49548;1216503;12743;277479;1070885
299699;Task-239;POLICY2_MEC;TASK_CONCLUDED;42854;1052167;11022;239995;926220
306525;Task-219;POLICY2_MEC;TASK_CONCLUDED;44398;1090083;11419;248643;959598
313309;Task-209;POLICY2_MEC;TASK_CONCLUDED;46143;1132913;11868;258412;997301
316864;Task-329;POLICY2_MEC;TASK_CONCLUDED;42777;1050265;11002;239561;924546
341447;Task-229;POLICY2_MEC;TASK_CONCLUDED;50161;1231556;12901;280913;1084137
342490;Task-179;POLICY2_MEC;TASK_CONCLUDED;52061;1278206;13390;291553;1125203
349698;Task-79;POLICY2_MEC;TASK_CONCLUDED;56812;1394845;14612;318158;1227880
355563;Task-119;POLICY2_MEC;TASK_CONCLUDED;56298;1382227;14480;315280;1216772
363482;Task-379;POLICY2_MEC;TASK_CONCLUDED;48987;1202736;12599;274339;1058767
363696;Task-59;POLICY2_MEC;TASK_CONCLUDED;59887;1470354;15403;335382;1294351
364911;Task-89;POLICY2_MEC;TASK_CONCLUDED;59144;1452113;15212;331221;1278293
375773;Task-149;POLICY2_MEC;TASK_CONCLUDED;58622;1439300;15077;328298;1267013
376183;Task-9;POLICY2_MEC;TASK_CONCLUDED;63897;1568794;16434;357835;1381007
386360;Task-109;POLICY2_MEC;TASK_CONCLUDED;61981;1521759;15941;347107;1339602
389598;Task-129;POLICY2_MEC;TASK_CONCLUDED;61706;1514996;15870;345564;1333648
397206;Task-139;POLICY2_MEC;TASK_CONCLUDED;62796;1541758;16151;351668;1357207
397819;Task-369;POLICY2_MEC;TASK_CONCLUDED;55263;1356811;14213;309483;1194398
398234;Task-199;POLICY2_MEC;TASK_CONCLUDED;60976;1497075;15683;341476;1317873
401295;Task-339;POLICY2_MEC;TASK_CONCLUDED;56785;1394186;14605;318008;1227300
427870;Task-269;POLICY2_MEC;TASK_CONCLUDED;63486;1558694;16328;355531;1372116
431065;Task-169;POLICY2_MEC;TASK_CONCLUDED;67593;1659535;17385;378533;1460886
434543;Task-189;POLICY2_MEC;TASK_CONCLUDED;67390;1654560;17333;377398;1456506
438143;Task-259;POLICY2_MEC;TASK_CONCLUDED;65508;1608338;16848;366855;1415817
454177;Task-19;POLICY2_MEC;TASK_CONCLUDED;76843;1886624;19764;430331;1660793
460243;Task-279;POLICY2_MEC;TASK_CONCLUDED;68725;1687332;17676;384873;1485356
476870;Task-399;POLICY2_MEC;TASK_CONCLUDED;67450;1656016;17348;377730;1457788
500355;Task-389;POLICY2_MEC;TASK_CONCLUDED;71966;1766908;18510;403024;1555406
516301;Task-319;POLICY2_MEC;TASK_CONCLUDED;77124;1893542;19836;431909;1666882
595882;Task-499;POLICY3_CLOUD;TASK_CONCLUDED;105423;1974846;4341;491614;1763407
623438;Task-469;POLICY3_CLOUD;TASK_CANCELED;112821;2113414;4646;526109;1887139
668127;Task-449;POLICY3_CLOUD;TASK_CANCELED;122976;2303639;5064;573463;2056997
703916;Task-409;POLICY3_CLOUD;TASK_CANCELED;131996;2472597;5436;615524;2207867
704170;Task-459;POLICY3_CLOUD;TASK_CANCELED;130355;2441858;5368;607872;2180419
817806;Task-419;POLICY3_CLOUD;TASK_CANCELED;155863;2919677;6419;726819;2607081
859288;Task-479;POLICY3_CLOUD;TASK_CANCELED;162634;3046493;6698;758388;2720319
881061;Task-489;POLICY3_CLOUD;TASK_CANCELED;166614;3121048;6862;776948;2786892
909309;Task-439;POLICY3_CLOUD;TASK_CANCELED;174421;3267289;7183;813353;2917475
964562;Task-429;POLICY3_CLOUD;TASK_CANCELED;186666;3496654;7688;870451;3122284
1314852;Task-96;POLICY1_IOT;TASK_CONCLUDED;364594;0;1294723;0;550619
1325209;Task-317;POLICY1_IOT;TASK_CONCLUDED;355043;0;1260809;0;536196
1329078;Task-84;POLICY1_IOT;TASK_CONCLUDED;369279;0;1311362;0;557696
1334511;Task-391;POLICY1_IOT;TASK_CONCLUDED;353294;0;1254598;0;533555
1339128;Task-251;POLICY1_IOT;TASK_CONCLUDED;362367;0;1286816;0;547257
1339900;Task-77;POLICY1_IOT;TASK_CONCLUDED;372651;0;1323336;0;562788
1345446;Task-78;POLICY1_IOT;TASK_CONCLUDED;374179;0;1328763;0;565096
1352986;Task-445;POLICY1_IOT;TASK_CONCLUDED;355870;0;1263745;0;537445
1355252;Task-145;POLICY1_IOT;TASK_CONCLUDED;372892;0;1324193;0;563152
1374678;Task-461;POLICY1_IOT;TASK_CONCLUDED;361443;0;1283534;0;545861
1376433;Task-356;POLICY1_IOT;TASK_CONCLUDED;367602;0;1305404;0;555162
1380201;Task-333;POLICY1_IOT;TASK_CONCLUDED;369797;0;1313199;0;558477
1380981;Task-34;POLICY1_IOT;TASK_CONCLUDED;387057;0;1374493;0;584544
1382608;Task-132;POLICY1_IOT;TASK_CONCLUDED;381396;0;1354392;0;575995
1390833;Task-375;POLICY1_IOT;TASK_CONCLUDED;370382;0;1315280;0;559362
1413048;Task-454;POLICY1_IOT;TASK_CONCLUDED;372488;0;1322756;0;562541
1416396;Task-138;POLICY1_IOT;TASK_CONCLUDED;390694;0;1387410;0;590037
